id,name,title,artist_name,art_type,park,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1513752936,185,Broadway Avenue Public Realm Street Mural: City Steps,Tim Engelhardt & Randi Stewart,,,,Beechview,4,19,42003192000,5,19,6,4-28,40.40403182,-80.0303562
93190925,186,Broadway Avenue Public Realm Street Mural: Totem,Leonardo Moleiro,,,,Beechview,4,19,42003192000,5,19,6,4-28,40.41050822,-80.024627
1248178985,187,Freedom Corner Memorial,Carlos Peterson & Howard Graves,Individual and Historic Monuments,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44098687,-79.98579146
830743172,188,We Came From The Stars,Alisha Wormsley,Modern and Contemporary Art,,,Crawford-Roberts,7,2,42003030500,3,2,2,2-1,40.44675061,-79.98571475
1338516250,22,Paulson Spray Park Mural,Will Schlough,Modern and Contemporary Art,,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46875207,-79.90093222
2070732404,23,Shadyside Art Intersection,Leonardo Moleiro,Modern and Contemporary Art,,,Shadyside,8,7,42003070500,2,7,4,3-11,40.45610722,-79.93078199
502869219,24,We Are Pittsburgh,Joshua Chang & Aaron Ramon,Modern and Contemporary Art,,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44333016,-80.004729
1417375405,81,Hays Monument,n/a,War Memorials,,,Hays,5,31,42003562900,3,31,4,4-20,40.385777,-79.932796
355302219,PA00001000,Neptune,Unknown,Historic Art,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43820988,-79.94730707
1953949752,PA00003000,Deer,Unknown,Historic Art,Allegheny Commons,,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45320926,-80.01400326
1797001777,PA00008000,Edward Manning Bigelow,Giuseppe Moretti,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44010959,-79.94730707
1056158439,PA00009000,Welcome,Giuseppe Moretti,Historic Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.47860753,-79.91620203
680343518,PA00010000,Panthers,Giuseppe Moretti,Historic Art,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43780933,-79.9470019
2033866494,PA00011000,Griffins,Unknown,Historic Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.48270833,-79.92000147
1965199143,PA00012000,Horses,Giuseppe Moretti,Historic Art,Highland Park,,Highland Park,7,11,42003110600,2,11,5,3-9,40.47510945,-79.91089959
151837449,PA00017000,Christopher Lyman Magee Memorial,Augustus Saint-Gaudens,Individual and Historic Monuments,Schenley Park,,North Oakland,8,4,42003982200,3,4,4,2-8,40.44240986,-79.95110651
677813060,PA00018000,Hartzell Memorial Fountain,Unknown,Individual and Historic Monuments,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45390735,-80.00620602
772547760,PA00021000,Robert Burns,John Massey Rhind,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43819058,-79.94722507
190368932,PA00022000,South Side Market Signature Stone,Unknown,Historic Art,Southside Market House,,South Side Flats,3,17,42003170200,3,17,3,4-24,40.429108,-79.98650691
184145405,PA00024000,Allegorical Friezes,Charles Keck,Historic Art,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43789965,-79.99674352
1359999380,PA00025000,A Song to Nature,Victor David Brenner,Individual and Historic Monuments,Schenley Park,,Central Oakland,3,4,42003040500,3,4,4,2-8,40.4421085,-79.95170161
1879904433,PA00035000,William Pitt,Reid Dick,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43794835,-79.99720448
1745758195,PA00037000,William Flinn Memorial,Gleb W Derujinsky,Individual and Historic Monuments,,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43841252,-79.99704588
1336707259,PA00040000,Mellon Park Fountain,Edmund Amateis,Historic Art,Mellon Park,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45200764,-79.91900201
1605962003,PA00042000,Westinghouse Memorial,Daniel Chester French,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43940769,-79.94270655
